iter	Passed	Remaining
0	0	73
1	1	65
2	1	62
3	2	57
4	2	55
5	3	53
6	3	52
7	4	55
8	5	58
9	6	58
10	7	57
11	7	56
12	8	55
13	8	54
14	9	53
15	10	52
16	10	52
17	11	52
18	12	52
19	13	52
20	13	52
21	14	51
22	15	51
23	16	51
24	17	52
25	18	53
26	20	54
27	21	54
28	22	53
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	33	39
46	34	39
47	36	39
48	36	38
49	37	37
50	38	37
51	39	36
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	45	26
63	46	26
64	46	25
65	47	24
66	48	23
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	53	18
74	54	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	61	10
85	62	10
86	63	9
87	64	8
88	65	8
89	66	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
